NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE_NO,CUSINE_TYPE,TIMING,RATING_TYPE,RATING,VOTES
Eat Punjab,750,"North Indian,Chinese,Fast Food",Ahmedabad,Chandkheda,https://www.zomato.com/ahmedabad/eat-punjab-chandkheda/info,1,Casual Dining,"1030am to 330pm,630pm to 1130pm(Mon-Sun)",Good,3.7,1345
9834 The Fruit Truck,400,"Beverages,Desserts",Ahmedabad,Food Truck Park,https://www.zomato.com/9834-the-fruit-truck-food-truc/info,1,Food Truck,9am to 1am(Mon-Sun),Very Good,4.4,561
The Esplendido Cafe,800,"Cafe,American,Italian,Chinese,Beverages",Ahmedabad,Navrangpura,https://www.zomato.com/ahmedabad/the-esplendido-cafe-navrangpura/info,1,Café,"1130am to 1130pm(Mon-Tue),12noon to 1130pm...",Very Good,4.4,1013
Makeba - The Lounge Cafe,1000,"Cafe,Italian,Mexican,Healthy Food",Ahmedabad,Vastrapur,https://www.zomato.com/ahmedabad/makeba-the-lounge-cafe-vastrapur/info,1,Café,12noon to 12midnight(Mon-Sun),Very Good,4.2,399
Honest,700,"North Indian,South Indian,Fast Food,Chinese",Ahmedabad,Prahlad Nagar,https://www.zomato.com/ahmedabad/honest-prahlad-nagar/info,1,Casual Dining,11am to 12midnight(Mon-Sun),Good,3.9,832
The Cafe Baraco,1000,"Cafe,Italian",Ahmedabad,Navrangpura,https://www.zomato.com/ahmedabad/the-cafe-baraco-navrangpura/info,1,Café,11am to 12midnight(Mon-Sun),Very Good,4.3,1535
Huber & Holly,800,"Cafe,Desserts",Ahmedabad,Bodakdev,https://www.zomato.com/ahmedabad/huber-holly-1-bodakdev/info,1,Café,11am to 1130pm(Mon-Sun),Excellent,4.8,1415
I Love Sandwich House,900,"Cafe,Sandwich",Ahmedabad,Bodakdev,https://www.zomato.com/ahmedabad/i-love-sandwich-house-bodakdev/info,1,Café,10am to 1am(Mon-Sun),Very Good,4.2,1109
Bogarosa,800,"Continental,North Indian",Ahmedabad,Bodakdev,https://www.zomato.com/ahmedabad/bogarosa-1-bodakdev/info,1,Casual Dining,12noon to 1am(Mon-Sun),Very Good,4.1,1156
Parosa,800,"Italian,Mexican,North Indian",Ahmedabad,Bodakdev,https://www.zomato.com/ahmedabad/parosa-bodakdev/info,1,Casual Dining,"12noon to 12midnight(Mon,Tue,Wed,Fri),11am to ...",Very Good,4.1,795
Mocha,800,"Cafe,Italian",Ahmedabad,C G Road,https://www.zomato.com/ahmedabad/mocha-c-g-road/info,1,Café,"11am to 11pm(Mon),11am to 1230AM(Tue-Sun)",Very Good,4.4,970
Tea Villa Cafe,1000,"Cafe,Italian,Continental",Ahmedabad,Navrangpura,https://www.zomato.com/ahmedabad/tea-villa-cafe-navrangpura/info,1,Café,9am to 12midnight(Mon-Sun),Very Good,4.1,718
Unlocked,1000,"Cafe,Italian,European,Continental",Ahmedabad,Navrangpura,https://www.zomato.com/ahmedabad/unlocked-navrangpura/info,1,Café,"11am to 11pm(Mon-Wed),6pm to 11pm(Thu),11am to ...",Very Good,4.3,1253
And Me Cafe,1000,"Cafe,Fast Food",Ahmedabad,Bodakdev,https://www.zomato.com/ahmedabad/and-me-cafe-bodakdev/info,1,Café,"12midnight to 1am,11am to 11pm(Mon),11am to ...",Very Good,4,305
Anjoy Latenight Meals,500,"North Indian,Fast Food",Ahmedabad,Vastrapur,https://www.zomato.com/ahmedabad/anjoy-latenight-meals-vastrapur/info,1,none,"12noon to 4pm,730pm to 430am(Mon-Sun)",Very Good,4.3,1158
Khush Maza,450,North Indian,Ahmedabad,Gurukul,https://www.zomato.com/ahmedabad/khush-maza-gurukul/info,10,none,11am to 3am(Mon-Sun),Very Good,4.2,224
Purohit Restaurant,550,"South Indian,North Indian,Fast Food",Ahmedabad,Mani Nagar,https://www.zomato.com/ahmedabad/purohit-restaurant-mani-nagar/info,10,Casual Dining,10am to 1130pm(Mon-Sun),Very Good,4.1,253
Legends Of Punjab - By Pepperazi,700,"North Indian,Italian,BBQ,Mexican,Thai",Ahmedabad,Gulbai Tekra,https://www.zomato.com/ahmedabad/legends-of-punjab-by-pepperazi-gulbai-tekra/info,10,Casual Dining,"12noon to 3pm,7pm to 11pm(Mon-Sun)",Very Good,4.1,222
Las Vegas Waffwich & Hunger Cafe,300,"Desserts,Cafe",Ahmedabad,Navrangpura,https://www.zomato.com/ahmedabad/las-vegas-waffwich-hunger-cafe-navrangpura/info,10,Dessert Parlor,11am to 12midnight(Mon-Sun),Very Good,4.1,76
Jay Nilkanth Food,400,"North Indian,Chinese",Ahmedabad,Navrangpura,https://www.zomato.com/ahmedabad/jay-nilkanth-food-navrangpura/info,10,Quick Bites,11am to 11pm(Mon-Sun),Average,3.1,1350
Bistro 61,800,"North Indian,Continental,Mexican,Chinese",Ahmedabad,Vastrapur,https://www.zomato.com/ahmedabad/bistro-61-vastrapur/info,10,Casual Dining,"11am to 3pm,7pm to 3am(Mon-Sun)",Average,2.8,313
The Red Bistro,1400,"Mexican,Italian,North Indian",Ahmedabad,Bodakdev,https://www.zomato.com/ahmedabad/the-red-bistro-bodakdev/info,10,Casual Dining,"630pm to 1045pm(Mon),12noon to 1045pm(Tue-Sun)",Excellent,4.6,494
La Pino'z Pizza,500,Pizza,Ahmedabad,Bodakdev,https://www.zomato.com/ahmedabad/la-pinoz-pizza-bodakdev/info,10,Quick Bites,11am to 11pm(Mon-Sun),Excellent,4.5,2330
Sigdi Restaurant,600,"North Indian,Mughlai,Chinese",Ahmedabad,Sarkhej,https://www.zomato.com/ahmedabad/sigdi-restaurant-sarkhej/info,10,Casual Dining,5pm to 12midnight(Mon-Sun),Good,3.8,231
Shree Annpurna,500,"North Indian,Chinese",Ahmedabad,Mani Nagar,https://www.zomato.com/ahmedabad/shree-annpurna-mani-nagar/info,10,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.1,1799
