,name,address,phone,online_order,rest_type,cuisines,listed_in(type),book_table,rate,approx_cost(for two people),menu_item,listed_in(city)
0,#FeelTheROLL,"Opposite Mantri Commercio, Outer Ring Road, Devarabisanahalli, Near Sakra World Hospital","+91 9108342079
+91 9886117901",No,Quick Bites,Fast Food,Delivery,No,3.4 /5,200,[],Sarjapur Road
1,#FeelTheROLL,"Opposite Mantri Commercio, Outer Ring Road, Devarabisanahalli, Near Sakra World Hospital","+91 9108342079
+91 9886117901",No,Quick Bites,Fast Food,Delivery,No,3.4/5,200,[],Bellandur
2,#L-81 Cafe,"Sector 6, HSR Layout, HSR",+91 9986210891,Yes,Quick Bites,"Fast Food, Beverages",Delivery,No,3.9/5,400,[],BTM
3,#L-81 Cafe,"Sector 6, HSR Layout, HSR",+91 9986210891,Yes,Quick Bites,"Fast Food, Beverages",Dine-out,No,3.9/5,400,[],BTM
4,#Vibes Restro,"Marasur Gate, Chandapura - Anekal Road, Near Aliance Collage, Electronic City, Bangalore",+91 9538911285,No,Casual Dining,"Continental, Chinese, Italian",Buffet,No,,700,[],Electronic City
5,#Vibes Restro,"Marasur Gate, Chandapura - Anekal Road, Near Aliance Collage, Electronic City, Bangalore",+91 9538911285,No,Casual Dining,"Continental, Chinese, Italian",Delivery,No,,700,[],Electronic City
6,#Vibes Restro,"Marasur Gate, Chandapura - Anekal Road, Near Aliance Collage, Electronic City, Bangalore",+91 9538911285,No,Casual Dining,"Continental, Chinese, Italian",Dine-out,No,,700,[],Electronic City
7,#refuel,"7, Ground Floor, RR Commercial Complex, Akshay Nagar, Bannerghatta Road, Bangalore",+91 8971227222,Yes,Cafe,"Cafe, Beverages",Cafes,No,3.7/5,400,"['Kit Kat Thick Shake', 'Ferrero Rocher Thick Shake', 'Walnut Brownie', 'Death By Chocolate', 'White Alfredo Pasta', 'Hot and Spicy Maggi Combo', 'The House of Veg Burger Combo', 'Club Sandwich Combo', 'Cheese Nuggets Burger Combo', 'Schezwan Paneer Sandwich Combo', 'Pasta Combo', '5 Pepper Pizza Combo', 'Exotica Pizza Combo', 'Margherita Pizza [8 inches]', 'Cheese Corn Pizza [8 inches]', '5 Pepper Pizza [8 inches]', 'Cheese Italiano Pizza [8 inches]', 'Veg Supreme Pizza [8 inches]', 'Barbecue Panner Pizza [8 inches]', 'Exotica Pizza [8 inches]', 'White Alfredo Pasta', 'Red Pesto Pasta', 'Pink Sauce Pasta', 'The House Of Veggie Burger', 'Schezwan Cheese Burger', 'Cheese Garlic Burger', 'Veg Supreme Burger', 'Tex Mex Burger', 'Cheese Nuggets Burger', 'Veggie Sandwich', 'Veg Cheese Sandwich', 'Sweet Corn Sandwich', 'Onion Capsicum Sandwich', 'Garlic Cheese Corn Sandwich', 'Chilli Cheese Sandwich', 'Club Sandwich', 'Schezwan Panner Sandwich', 'Double Decker Sandwich', 'Peanut Butter Sandwich', 'Chocolate Sandwich', 'Nutella Sandwich', 'Veg Momos', 'Panner Cheese Momos', 'Fried Veg Momos', 'Fried Panner Cheese Momos', 'Smilies', 'French Fries', 'Peri Peri Fries', 'Mexican Fries', 'Chilli Cheese Fries', 'Chilli Lemon Fries', 'Cheese Nuggets', 'Potato Wedges', 'Veg Sticks', 'Mc Cain Platter', 'Nachos', 'Cheesy Nachos', 'Chatpata Nachos', 'Mexican Nachos', 'Italian Nachos', 'Masala Maggi', 'Veg Loaded Maggi', 'Veg Loaded Wai Wai Maggi', 'Hot And Spicy Maggi', 'Ching Chang Maggi', 'Wai Wai Bhel Maggi', 'Chesse Loaded Maggi', 'Mayonnaise Maggi', 'Chilli Cheese Maggi', 'Creamy Maggi', 'Vanilla Soft Serve', 'Walnut Brownie', 'Walnut Brownie With Ice Cream', 'Death By Chocolate', 'Mango Kulfi', 'Dry Fruit Kulfi', 'Gulkand Kulfi', 'Sitaphal Kulfi', 'Laccha Malai Kulfi', 'Pista Kulfi', 'Paan Kulfi', 'Special Guava Kulfi', 'Mango', 'Litchi', 'Strawberry', 'Orange', 'Cranberry', 'Green Apple', 'Blue Berry', 'Blue Curacao', 'Black Current', 'Fusion Of 2', 'Fusion Of 3', 'Fusion Of 4', 'Vanilla Shake', 'Strawberry Shake', 'Mango Shake', 'Banana Shake', 'Cranberry Shake', 'Blue Berry Shake', 'Litchi Shake', 'Butter Scotch Shake', 'Peanut Butter Shake', 'Banana Kiwi Shake', 'Banana Caramel Shake', 'Kit Kat Thick Shake', 'Oreo Thick Shake', 'Snicker Thick Shake', 'Oreo Strawberry Thick Shake', 'Bubble Gum Thick Shake', 'Ferrero Rocher Thick Shake', 'God Of Chocolate Thick Shake', 'Nutella Thick Shake', 'Brownie Thick Shake', 'Black Forest Thick Shake', 'Sweet Lemonade Mocktail', 'Salted Lemonade Mocktail', 'Virgin Mojito Mocktail', 'Virgin Mimosa Mocktail', 'Spicy Mango Mocktail', 'Green Apple Mojito Mocktail', 'Blue Berry Mojito Mocktail', 'Fiery Apple Mocktail', 'Fiery Pineapple Mocktail', 'Sea Blue Mocktail', 'Mind Blowing Mocktail', 'X On The Beach Mocktail', 'Blue Berry Bomb Mocktail', 'Water Melon Bomb Mocktail', 'Sweet Lassi', 'Banana Lassi', 'Pineapple Lassi', 'Mango Lassi', 'Saffron Lassi', 'Chocolate Lassi', 'Dry Fruit Lassi', 'Plain Tea', 'Ginger Tea', 'Elaichi Tea', 'Green Tea', 'lemon Tea', 'Saffron Tea', 'Coffee', 'Popcorn Latte', 'Hot Chocolate']",Bannerghatta Road
8,#refuel,"7, Ground Floor, RR Commercial Complex, Akshay Nagar, Bannerghatta Road, Bangalore",+91 8971227222,Yes,Cafe,"Cafe, Beverages",Delivery,No,3.7/5,400,[],Bannerghatta Road
9,#refuel,"7, Ground Floor, RR Commercial Complex, Akshay Nagar, Bannerghatta Road, Bangalore",+91 8971227222,Yes,Cafe,"Cafe, Beverages",Dine-out,No,3.7/5,400,[],Bannerghatta Road
